WebGLRenderingContext.prototype.validateProgram, method
WebGLRenderingContext.prototype.vertexAttrib1f, method
WebGLRenderingContext.prototype.vertexAttrib1fv, method
WebGLRenderingContext.prototype.vertexAttrib2f, method
WebGLRenderingContext.prototype.vertexAttrib2fv, method
WebGLRenderingContext.prototype.vertexAttrib3f, method
WebGLRenderingContext.prototype.vertexAttrib3fv, method
WebGLRenderingContext.prototype.vertexAttrib4f, method
WebGLRenderingContext.prototype.vertexAttrib4fv, method
WebGLRenderingContext.prototype.vertexAttribPointer, method
WebGLRenderingContext.prototype.viewport, method
WebSocket.prototype.close, method
WebSocket.prototype.send, method
XMLHttpRequest.prototype.open, method
XMLHttpRequest.prototype.setRequestHeader, method
